gene,Cell Count
non-targeting,152
RPL3,31
NCBP2,23
KIF11,17
ARGLU1,14
PMPCB,14
SLC39A9,13
RPL34,12
NUP205,12
FBXO5,12
PPP2R1A,12
BCR,12
RPL24,12
ANAPC15,12
COG2,12
CPSF3,11
SLC1A5,11
CHMP6,11
MED12,11
DONSON,11
RPL8,11
TRRAP,10
ZMAT2,10
NUF2,10
SF3B2,10
PPP1CA,10
NAA38,10
ICE1,10
PSMD12,10
PSMG3,10
ZNF207,10
EIF4G1,9
PSMD6,9
PPP1R15B,9
NUP98,9
POLR2A,9
TEAD3,9
RPS7,9
PCF11,9
GFM1,9
CDIPT,9
DDX47,9
EIF4G2,9
HSPA5,9
MED22,9
NLE1,9
MED1,9
LSM6,8
PSMA3,8
USF2,8
CNOT3,8
RAD51,8
RUVBL1,8
RRM2,8
RPS29,8
RPS20,8
MED10,8
DENR,8
PSMC1,8
CADM4,8
MED19,8
RACGAP1,8
JMJD6,8
MRPL1,8
MRPL35,8
FAM32A,8
ACTR8,8
SNX15,8
WDR4,8
WDR3,8
GAB2,8
WDR74,8
GOLT1B,8
SMN2,8
PABPN1,8
ORC1,8
DDX55,7
RPA1,7
SON,7
CKAP5,7
SRSF6,7
TSR1,7
SUPT5H,7
RMI1,7
LTV1,7
RPL10,7
RPL19,7
SF3B4,7
SNRNP40,7
SNAPC3,7
ZNF574,7
LIN54,7
CCDC78,7
CA5A,7
RARS,7
MCM10,7
GTF2A2,7
SRSF11,7
GUCD1,7
PSTK,7
PSMD4,7
POLR2E,7
SSRP1,7
HSPA9,7
IGBP1,7
POLR1B,7
WBP11,7
QARS,7
RAB4A,7
MRPL24,7
N6AMT1,7
HNRNPC,6
PHB2,6
NIFK,6
CHMP7,6
SF3B1,6
POLR2B,6
PNISR,6
MBTPS1,6
DPH1,6
PC,6
MAD2L1,6
GTF3C6,6
GLRX3,6
SNRPB,6
GNB1L,6
GON4L,6
SRRM1,6
SRRT,6
NSUN4,6
NUP107,6
CNOT1,6
HNRNPM,6
FAF2,6
EIF3H,6
GPN3,6
INTS9,6
DLD,6
RAC1,6
EIF2B5,6
EIF3A,6
RPAP2,6
KIAA1143,6
PSMD7,6
RPL23,6
RPL30,6
MED6,6
RPL37,6
CWC15,6
RPL37A,6
CTR9,6
CSH2,6
PSMB7,6
PRIM1,6
CPAMD8,6
MTBP,6
RTCB,6
RBM14,6
DHX16,6
XRCC2,6
ATRIP,6
AP2M1,6
VPS54,6
BRK1,6
THOC6,6
VPS41,6
BUB1,6
VCP,6
CCDC115,6
ANAPC2,6
CBLN1,6
ABCF1,6
TMA16,6
TFDP1,6
TPX2,6
AARS2,6
ZNF718,6
YEATS4,6
TUBGCP2,6
RPLP0,5
RPL18,5
C12orf60,5
DDX19B,5
XRCC1,5
RPS26,5
RPL11,5
ALG1L,5
GRB2,5
DDN,5
NUP85,5
GTF2E1,5
CRCP,5
GTF2H1,5
GTF2H3,5
NRDE2,5
NASP,5
NOP10,5
HIST1H2BL,5
RPL31,5
NCAPH2,5
HIRA,5
TKT,5
HEATR1,5
HARS,5
STARD7,5
NXF1,5
DOLK,5
PSMA4,5
EIF2B1,5
EIF1AX,5
TWISTNB,5
BCAR1,5
EEF2,5
PTCD1,5
PRPF6,5
EMC7,5
ERAL1,5
ESPN,5
DRG1,5
POP7,5
TTK,5
USP7,5
OXA1L,5
POLA2,5
TSG101,5
RBM48,5
ARPC4,5
PHB,5
FXN,5
RIOK1,5
DHX33,5
VPS29,5
DHODH,5
PARN,5
GET3,5
GFER,5
RNF113A,5
VPS51,5
NEDD8,5
AHCTF1,5
MED17,5
SEPHS2,5
SF3A1,5
ZBTB17,5
TEX10,5
CIAO1,5
CHTOP,5
SFPQ,5
CHEK1,5
SLC4A5,5
KPNB1,5
SMC4,5
CENPJ,5
MRPL14,5
SNRPD3,5
SNRPG,5
CDK1,5
TAF8,5
MCM4,5
CDC27,5
ZNHIT2,5
MAK16,5
MAGOH,5
MAD2L2,5
CCNK,5
TFB2M,5
METTL1,5
HYPK,5
THOC3,5
HSPA14,5
COPZ1,5
COPS6,5
HAUS4,4
POLR2I,4
POLR2F,4
POLR2C,4
ATL2,4
NAE1,4
ZNF658,4
POLR1E,4
MED11,4
POLA1,4
FCF1,4
ZNF468,4
EXOSC7,4
KRTAP4-7,4
FDXR,4
PNKP,4
FGFR1OP,4
KRTAP4-2,4
MRPL54,4
PMF1,4
VHL,4
HMGB1,4
NAGLU,4
PHAX,4
POLR3F,4
PPAN,4
NACA,4
LONP1,4
EIF5A,4
UBQLN4,4
ATP6V1E1,4
PSMB5,4
ZRSR2,4
ELP2,4
PRPF18,4
HS6ST1,4
MZT1,4
PRPF8,4
EMC3,4
NAA50,4
MBTPS2,4
XPO5,4
UFM1,4
PPP4R2,4
PPP4C,4
ATP6V1B2,4
MCM6,4
UNC45A,4
ZNF687,4
INO80,4
ACIN1,4
KRR1,4
PFDN2,4
INTS8,4
XPO1,4
ACTR1A,4
MMGT1,4
GRWD1,4
NUP54,4
IPO9,4
ZBTB11,4
WDR36,4
NDC80,4
HCRTR1,4
NSRP1,4
NDUFB4,4
YPEL1,4
HAUS7,4
HAUS5,4
NOL6,4
INTS6,4
ALYREF,4
H3F3A,4
WDR92,4
MRPL17,4
MRPL19,4
INTS2,4
MRPL20,4
GPS1,4
WDR12,4
GARS,4
MTOR,4
PDCD6,4
MED28,4
IFITM2,4
YJEFN3,4
KLHL11,4
MED30,4
KIF18B,4
GGPS1,4
METAP2,4
NCAPH,4
ZNF100,4
VPS72,4
ANKRD49,4
OR2A1,4
WBP1L,4
GNL2,4
ZMAT5,4
NUP214,4
